Date,Shift_A_Production_Tonnes,Shift_B_Production_Tonnes,Shift_C_Production_Tonnes,Shift_A_Downtime_Hours,Shift_B_Downtime_Hours,Shift_C_Downtime_Hours
2025-03-11,332.92,486.26,529.14,0.32,3.65,6.18
2025-03-12,1094.76,734.09,492.45,0.54,0.17,0.27
2025-03-13,986.02,784.05,468.86,0.28,0.07,0.97
2025-03-14,732.72,727.04,644.86,0.02,0.47,2.08
2025-03-15,656.94,792.77,801.31,0.01,0.04,0.14
2025-03-16,515.0,1020.77,779.97,0.06,0.39,0.19
2025-03-17,680.04,814.02,772.76,0.13,0.1,0.14
2025-03-18,771.32,763.17,666.42,0.83,0.05,0.38
2025-03-19,701.58,262.49,1089.64,0.4,1.72,0.73
2025-03-20,588.76,595.34,342.67,1.0,3.4,4.18
2025-03-21,1119.08,677.95,510.99,0.2,0.19,0.3
2025-03-22,581.38,842.26,911.81,0.03,0.15,0.04
2025-03-23,623.43,1162.17,559.53,0.06,0.06,0.03
2025-03-24,1197.6,550.52,485.04,0.67,0.05,0.1
2025-03-25,1188.46,683.53,263.46,1.28,0.29,0.28
2025-03-26,664.66,540.97,1035.42,0.44,0.07,0.62
2025-03-27,462.85,673.42,300.26,3.0,1.91,4.26
2025-03-28,426.82,1011.79,849.35,0.21,0.36,0.27
2025-03-29,814.54,591.96,864.6,0.27,0.08,0.55
2025-03-30,1184.15,518.18,714.0,0.01,0.41,0.21
2025-03-31,433.25,614.27,207.56,3.28,2.97,4.76
2025-04-01,928.95,810.89,336.68,0.87,0.73,1.61
2025-04-02,403.5,774.52,1036.66,0.15,0.44,0.26
2025-04-03,627.75,1324.45,436.88,0.09,0.01,0.3
2025-04-04,873.23,506.56,711.82,0.78,0.4,0.88
2025-04-05,503.38,1454.88,402.33,0.07,0.41,0.19
2025-04-06,814.02,975.21,524.85,0.5,0.97,0.0
2025-04-07,830.04,630.28,690.19,0.66,0.83,0.98
2025-04-08,957.96,856.75,559.09,0.09,0.02,0.05
2025-04-09,595.74,566.08,291.56,4.06,2.4,2.76
2025-04-10,599.87,986.56,699.12,0.06,0.11,0.47
2025-04-11,991.95,522.6,685.13,0.08,0.26,0.46
2025-04-12,142.85,1172.9,928.51,0.28,0.46,0.29
2025-04-13,856.75,671.21,862.3,0.03,0.27,0.35
2025-04-14,798.22,1016.01,539.3,0.06,0.03,0.06
2025-04-15,484.83,695.87,858.58,1.05,0.65,1.49
2025-04-16,669.24,997.76,474.39,0.8,0.07,1.37
2025-04-17,1487.79,202.06,545.89,0.1,0.17,1.11
2025-04-18,699.75,1208.65,301.17,0.16,0.41,0.19
2025-04-19,1014.77,567.43,859.13,0.03,0.07,0.02
2025-04-20,474.72,376.88,957.78,0.28,3.48,2.11
2025-04-21,462.98,600.23,1019.38,1.27,0.78,0.72
2025-04-22,748.37,1036.61,585.68,0.21,0.16,0.2
2025-04-23,591.22,314.88,642.48,3.71,4.5,0.24
2025-04-24,589.49,771.38,787.38,1.84,0.02,0.48
2025-04-25,711.35,539.74,543.56,0.71,1.64,3.61
2025-04-26,1135.26,808.07,382.0,0.83,0.13,0.71
2025-04-27,549.02,667.07,903.89,0.73,0.73,0.78
2025-04-28,458.97,1118.31,612.36,0.93,0.75,0.05
2025-04-29,548.29,1228.7,621.79,0.01,0.01,0.02
2025-04-30,810.15,1186.98,418.34,0.02,0.04,0.0
2025-05-01,570.57,530.53,954.76,0.95,1.64,0.18
2025-05-02,525.78,974.45,802.64,0.14,0.55,0.28
2025-05-03,529.91,632.67,1128.65,0.1,0.21,0.07
2025-05-04,1039.44,1077.84,314.2,0.01,0.06,0.06
2025-05-05,980.01,852.78,432.11,0.32,0.03,0.66
2025-05-06,855.83,672.31,747.49,0.16,0.28,0.72
2025-05-07,880.94,728.16,800.82,0.04,0.02,0.1
2025-05-08,1131.99,699.41,491.92,0.16,0.05,0.16
2025-05-09,371.97,1009.32,1007.77,0.09,0.04,0.21
2025-05-10,948.92,290.32,908.41,1.0,0.24,1.8
2025-05-11,910.71,1129.71,222.28,0.21,0.62,0.41
2025-05-12,416.84,841.26,1028.73,0.16,0.36,0.78
2025-05-13,887.35,914.29,500.76,0.32,0.06,0.37
2025-05-14,1182.56,488.4,633.42,0.16,0.35,0.92
2025-05-15,672.08,1017.91,475.66,1.12,0.32,0.47
2025-05-16,770.24,1096.74,389.22,0.13,0.15,0.53
2025-05-17,852.01,879.82,638.15,0.01,0.01,0.11
2025-05-18,308.82,116.44,205.82,2.63,3.97,11.1
2025-05-19,308.57,262.93,280.39,9.06,0.76,5.56
2025-05-20,195.25,617.56,538.95,6.12,2.0,2.49
2025-05-21,1355.8,228.68,668.66,0.09,0.44,0.14
2025-05-22,1045.71,853.23,320.48,0.17,0.61,0.55
2025-05-23,503.35,970.94,887.2,0.02,0.02,0.37
2025-05-24,869.03,877.14,554.1,0.03,0.24,0.21
2025-05-25,507.58,537.66,984.54,0.72,0.42,2.3
2025-05-26,377.65,1287.67,511.33,0.45,0.6,1.59
2025-05-27,739.62,840.45,798.06,0.21,0.32,0.28
2025-05-28,1138.98,309.21,762.29,0.25,0.7,0.85
2025-05-29,1099.78,579.49,481.74,0.07,0.0,2.66
2025-05-30,505.58,833.88,1069.92,0.38,0.08,0.0
2025-05-31,369.86,739.6,1258.95,0.04,0.04,0.23
2025-06-01,677.72,543.24,666.41,2.27,0.0,1.97
2025-06-02,352.04,1360.55,535.02,0.25,0.7,0.36
2025-06-03,454.83,271.4,1255.98,1.57,0.97,0.94
2025-06-04,439.4,918.45,726.37,0.55,1.7,0.76
2025-06-05,1003.88,330.64,858.92,1.04,0.13,1.0
2025-06-06,560.42,688.58,961.08,0.81,0.56,0.6
2025-06-07,1122.26,638.74,512.41,0.39,0.93,0.66
2025-06-08,905.17,715.06,597.59,1.04,0.15,0.53
2025-06-09,636.67,1224.5,230.02,1.25,0.04,1.31
2025-06-10,1023.37,860.37,368.97,0.55,0.76,0.19
2025-06-11,366.17,577.35,1374.9,0.61,0.13,0.04
2025-06-12,884.33,491.34,774.62,0.7,0.15,0.66
2025-06-13,824.69,1051.52,291.22,0.64,0.81,0.39
2025-06-14,586.72,965.22,645.83,1.46,0.76,0.3
2025-06-15,495.47,964.6,612.72,0.01,1.93,0.63
2025-06-16,530.98,787.08,609.43,2.26,0.2,2.44
2025-06-17,505.52,1089.08,623.59,0.13,1.52,0.87
2025-06-18,541.75,604.98,1019.77,1.08,0.69,0.46
2025-06-19,623.51,717.94,956.91,0.91,0.18,0.17
2025-06-20,1132.21,369.16,706.93,0.01,0.54,1.52
2025-06-21,631.38,880.24,568.01,1.17,1.4,1.02
2025-06-22,1313.75,474.04,387.92,0.69,0.01,1.65
2025-06-23,1121.3,573.29,497.92,0.13,0.28,1.23
2025-06-24,681.64,862.7,523.85,1.76,0.38,0.63
2025-06-25,565.54,880.85,626.78,0.25,0.9,1.93
2025-06-26,592.96,543.06,885.89,0.25,1.49,1.48
2025-06-27,547.63,751.68,784.65,0.09,0.68,1.57
2025-06-28,1041.25,350.81,626.75,0.62,1.58,1.3
2025-06-29,1011.72,679.61,593.9,0.51,0.66,0.15
2025-06-30,725.26,665.73,755.94,1.23,0.08,0.44
2025-07-01,338.96,325.23,673.43,1.72,6.19,2.69
2025-07-02,1291.88,555.21,233.64,0.34,0.73,0.97
2025-07-03,716.6,909.37,615.18,0.11,0.33,1.18
2025-07-04,294.86,654.18,283.99,3.96,1.91,5.56
2025-07-05,826.89,632.53,802.6,0.04,0.5,0.1
2025-07-06,380.26,741.23,894.96,0.41,0.46,1.15
2025-07-07,394.39,1053.26,891.84,0.11,0.39,0.28
2025-07-08,760.57,590.46,535.8,2.2,2.03,0.29
2025-07-09,708.48,806.66,726.21,0.0,0.18,1.92
2025-07-10,784.16,610.76,855.67,0.85,0.21,0.64
2025-07-11,942.2,737.17,353.82,1.37,0.98,0.64
2025-07-12,453.64,811.0,881.09,0.31,1.16,0.79
2025-07-13,762.25,539.45,912.32,0.09,0.15,1.14
2025-07-14,742.45,719.43,836.26,0.11,0.22,1.41
2025-07-15,731.76,840.19,651.23,0.15,0.6,0.39
2025-07-16,996.83,565.89,737.87,0.17,0.08,0.72
2025-07-17,560.87,876.12,700.26,1.31,0.2,0.61
2025-07-18,521.88,522.15,398.86,3.65,3.78,1.75
2025-07-19,1099.55,590.54,511.72,0.14,0.17,1.16
2025-07-20,434.12,745.59,1055.0,0.35,0.2,1.0
2025-07-21,907.76,437.16,907.03,0.02,0.81,0.89
2025-07-22,516.49,1046.27,673.55,1.25,0.2,0.22
2025-07-23,513.42,1116.42,600.17,1.06,0.34,0.41
2025-07-24,876.09,1033.82,105.79,1.93,1.04,1.37
2025-07-25,505.0,1386.16,315.33,0.3,0.97,0.54
2025-07-26,478.58,854.23,851.93,0.64,0.65,0.57
2025-07-27,663.16,574.55,913.45,1.06,0.05,0.89
2025-07-28,747.15,473.27,636.68,3.55,1.09,0.83
2025-07-29,1280.41,334.57,554.56,0.95,0.26,0.66
2025-07-30,693.23,459.43,944.46,1.71,0.1,0.77
2025-07-31,443.16,1272.15,499.64,0.06,0.5,0.89
2025-08-01,982.72,279.63,364.15,2.31,2.58,2.41
2025-08-02,545.31,533.14,993.73,0.78,0.21,1.96
2025-08-03,762.22,418.77,896.75,1.06,1.19,0.32
2025-08-04,539.41,628.4,1110.7,0.0,0.05,0.5
2025-08-05,768.54,762.8,741.21,0.01,0.32,0.83
2025-08-06,944.01,744.07,446.94,0.55,1.09,0.17
2025-08-07,516.59,1251.18,523.32,0.0,0.36,0.76
2025-08-08,1521.02,532.54,105.18,0.59,0.3,0.86
2025-08-09,1083.65,525.37,630.43,0.15,1.01,0.24
2025-08-10,390.53,990.13,622.95,0.1,1.17,0.9
2025-08-11,448.08,765.3,1090.4,0.05,0.19,0.25
2025-08-12,1416.29,410.12,443.71,0.32,0.01,1.45
2025-08-13,602.72,789.12,607.66,0.8,0.38,2.52
2025-08-14,528.18,856.98,720.21,0.43,0.38,0.97
2025-08-15,800.92,932.42,460.62,0.19,0.83,0.51
2025-08-16,481.69,1163.32,560.42,0.03,0.43,1.04
2025-08-17,639.63,462.58,775.68,1.28,0.7,2.61
2025-08-18,1274.63,491.78,341.86,0.05,2.23,0.42
2025-08-19,738.87,863.36,414.4,1.97,0.82,0.58
2025-08-20,765.62,607.1,677.87,1.33,0.58,0.97
2025-08-21,416.88,1071.6,688.59,0.84,0.17,0.76
2025-08-22,272.07,349.07,331.65,0.31,1.59,12.14
2025-08-23,310.97,276.0,183.68,11.33,2.33,2.36
2025-08-24,593.05,584.0,1070.54,0.86,0.1,0.06
2025-08-25,914.5,810.07,441.46,1.1,0.52,0.64
2025-08-26,1527.31,168.33,550.26,0.87,0.16,0.07
2025-08-27,779.96,861.98,516.63,0.42,1.04,0.29
2025-08-28,753.0,738.25,415.56,3.62,0.24,0.29
2025-08-29,773.89,586.09,686.62,2.2,0.69,0.22
2025-08-30,888.58,609.62,766.63,0.13,0.6,0.59
2025-08-31,586.09,1196.11,364.85,0.02,0.54,0.97
2025-09-01,727.35,628.38,787.63,1.6,0.64,0.81
2025-09-02,485.66,1034.13,587.08,1.94,0.67,0.95
2025-09-03,323.24,672.3,873.08,1.03,2.84,1.69
2025-09-04,734.74,710.67,808.95,1.58,0.33,0.25
2025-09-05,464.6,973.21,833.67,0.17,0.22,0.96
2025-09-06,1036.87,671.59,513.03,0.02,1.62,0.51
2025-09-07,881.04,752.27,554.82,0.34,0.24,1.93
2025-09-08,711.97,732.0,906.6,0.03,0.46,0.92
2025-09-09,880.59,427.12,1039.15,0.1,0.03,0.31
2025-09-10,718.98,569.41,708.48,1.02,0.1,3.68
2025-09-11,312.1,1205.76,652.02,0.03,0.24,1.8
2025-09-12,470.56,963.42,729.71,0.92,0.14,1.05
2025-09-13,586.28,1068.09,694.3,0.3,0.05,0.12
2025-09-14,462.07,854.47,864.54,0.02,1.11,0.79
2025-09-15,642.96,570.53,819.32,0.43,0.88,2.74
2025-09-16,780.0,428.63,345.71,0.91,7.05,0.52
2025-09-17,656.76,920.37,557.94,0.18,2.17,0.27
2025-09-18,309.04,933.74,933.4,0.08,0.34,1.69
2025-09-19,323.85,1196.43,564.08,0.16,0.9,2.07
2025-09-20,670.6,1072.34,429.84,0.42,0.71,1.37
2025-09-21,562.96,529.79,1207.43,0.62,0.35,0.13
2025-09-22,628.22,971.31,695.77,0.46,0.4,0.41
2025-09-23,573.76,982.76,418.31,1.54,0.96,1.32
2025-09-24,537.97,776.79,785.73,0.72,1.33,0.78
2025-09-25,617.36,1103.32,469.24,2.34,0.11,0.16
2025-09-26,946.82,1146.42,178.85,0.28,0.48,0.53
2025-09-27,643.99,330.65,1275.14,0.43,0.26,0.52
2025-09-28,1332.25,439.07,572.67,0.01,0.55,0.65
2025-09-29,817.59,603.61,924.71,0.32,0.62,0.2
2025-09-30,367.53,1128.0,682.38,0.41,1.3,0.58
2025-10-01,586.23,533.3,1117.17,0.08,0.22,1.02
2025-10-02,406.6,1103.06,851.48,0.13,0.01,0.54
2025-10-03,1159.95,564.65,434.78,1.76,0.0,0.92
2025-10-04,677.88,945.56,790.27,0.02,0.0,0.01
2025-10-05,684.01,605.04,1087.86,0.0,0.01,0.01
2025-10-06,503.66,1139.43,633.96,0.26,0.25,0.68
2025-10-07,929.17,739.58,519.67,1.71,0.71,0.46
2025-10-08,602.9,308.24,496.83,0.62,3.74,5.78
2025-10-09,980.17,521.34,874.68,0.1,0.15,0.12
2025-10-10,235.89,1787.71,364.81,0.11,0.16,0.18
2025-10-11,1029.87,961.51,491.63,0.15,0.0,0.05
2025-10-12,914.83,547.39,771.1,0.26,0.61,0.29
2025-10-13,755.42,360.88,406.19,5.94,0.84,1.8
2025-10-14,739.37,1023.67,550.58,0.26,0.07,0.75
2025-10-15,596.45,926.96,736.65,1.74,0.07,0.35
2025-10-16,337.34,1657.07,189.73,0.64,0.31,2.25
2025-10-17,594.14,1257.02,503.36,0.21,0.09,0.46
2025-10-18,1025.41,980.56,312.12,0.06,0.47,0.05
2025-10-19,1077.63,578.02,640.96,0.21,0.17,0.65
2025-10-20,702.39,766.63,859.52,0.45,0.1,0.08
2025-10-21,712.92,856.34,806.91,0.73,0.14,0.49
2025-10-22,970.87,1023.34,353.61,0.07,0.27,0.53
2025-10-23,1096.09,443.45,701.31,0.77,0.1,0.97
2025-10-24,680.25,726.1,907.38,0.23,0.25,0.14
2025-10-25,628.16,1176.87,473.43,0.98,0.01,0.58
2025-10-26,1599.82,286.46,359.77,0.32,0.62,1.11
2025-10-27,1052.14,675.94,405.31,0.03,0.53,1.6
2025-10-28,767.02,892.13,691.98,0.03,0.28,0.38
2025-10-29,732.05,294.91,519.76,5.72,1.13,1.6
2025-10-30,902.25,1020.46,480.3,0.07,0.46,0.33
2025-10-31,1267.55,427.04,689.5,0.04,0.2,0.14
2025-11-01,836.99,1147.13,310.53,0.28,0.42,0.42
2025-11-02,481.68,1355.07,279.82,1.17,1.21,0.7
2025-11-03,830.9,1059.73,363.81,0.67,0.86,0.35
2025-11-04,474.85,635.31,1350.05,0.26,0.12,0.12
2025-11-05,728.98,606.94,1020.61,0.2,0.86,0.37
2025-11-06,1115.87,499.74,652.26,1.85,0.09,0.26
2025-11-07,596.73,1266.26,521.11,0.22,0.3,0.28
2025-11-08,1082.98,493.45,770.49,0.05,0.09,0.5
2025-11-09,802.33,1041.7,421.61,0.3,1.72,0.22
2025-11-10,795.6,1217.77,328.67,1.13,0.03,0.25
2025-11-11,814.53,294.62,867.83,1.96,0.57,1.87
2025-11-12,869.59,326.05,389.25,0.05,0.98,7.48
2025-11-13,739.08,1110.84,459.07,0.18,0.01,0.46
2025-11-14,222.41,372.37,207.55,10.51,3.24,2.25
2025-11-15,331.98,156.27,163.35,2.57,1.77,13.2
2025-11-16,1094.77,758.6,524.84,0.06,0.45,0.33
2025-11-17,648.57,961.47,807.37,0.15,0.18,0.12
2025-11-18,485.09,1301.35,508.88,0.1,0.3,0.74
2025-11-19,424.54,1328.63,496.34,0.55,1.02,0.35
2025-11-20,1227.29,291.97,872.55,0.02,0.15,0.57
2025-11-21,819.16,647.48,722.76,1.43,0.06,0.69
2025-11-22,1060.86,832.65,599.93,0.01,0.27,0.08
2025-11-23,984.49,564.61,792.76,0.31,0.02,0.08
2025-11-24,791.14,727.13,780.2,0.27,0.52,0.59
2025-11-25,1013.67,595.87,625.05,0.31,0.26,0.53
2025-11-26,736.32,689.94,448.25,4.37,0.0,1.33
2025-11-27,837.3,962.59,630.85,0.22,0.22,0.25
2025-11-28,524.76,1271.86,643.32,0.14,0.08,0.28
2025-11-29,621.61,749.49,777.78,0.15,1.03,0.69
2025-11-30,1148.78,852.53,305.09,0.57,0.0,0.12
2025-12-01,875.51,372.91,665.9,2.0,0.39,2.36
2025-12-02,773.13,442.51,571.56,0.94,0.9,4.92
2025-12-03,737.04,250.15,830.68,2.22,2.05,2.62
2025-12-04,692.54,913.23,297.44,0.5,4.33,0.36
2025-12-05,668.94,725.83,866.92,0.28,0.12,1.47
2025-12-06,1185.09,708.84,603.98,0.03,0.03,0.09
2025-12-07,674.4,845.49,879.31,0.08,0.09,0.42
2025-12-08,758.57,471.92,380.35,3.75,0.11,4.54
2025-12-09,920.61,655.15,780.88,0.27,0.16,0.88
2025-12-10,1006.6,846.21,583.36,0.13,0.11,0.81
2025-12-11,1042.92,439.65,705.47,0.26,1.39,1.29
2025-12-12,445.56,892.77,690.82,0.3,0.7,2.84
2025-12-13,863.87,813.72,217.4,0.09,1.21,4.62
2025-12-14,1070.7,565.91,737.86,0.7,0.12,0.06
2025-12-15,572.37,1024.71,714.01,0.13,0.37,0.22
2025-12-16,999.75,579.07,871.89,0.14,0.12,0.02
2025-12-17,266.09,1249.16,886.34,0.02,0.09,0.38
2025-12-18,809.82,1267.21,363.81,0.13,0.04,0.27
2025-12-19,1229.01,368.19,626.92,0.27,0.94,1.15
2025-12-20,1101.66,781.7,550.84,0.03,0.15,0.16
2025-12-21,1311.16,919.68,161.03,0.03,0.69,0.02
2025-12-22,610.2,1030.43,790.97,0.2,0.6,0.13
2025-12-23,1133.56,749.51,658.31,0.01,0.06,0.01
2025-12-24,835.54,1284.76,218.16,0.07,0.1,0.4
2025-12-25,1011.95,860.53,489.09,0.3,0.18,0.55
2025-12-26,571.6,1194.67,518.28,0.5,0.82,0.31
2025-12-27,1139.26,630.63,424.99,0.23,0.08,2.29
2025-12-28,595.18,718.55,1004.12,0.68,0.16,0.19
2025-12-29,980.4,1048.09,345.57,0.09,0.22,0.01
2025-12-30,680.42,728.05,859.61,0.66,0.26,0.71
2025-12-31,853.97,198.95,534.2,6.12,1.42,0.85
