Date,Total_Downtime_Hours,Mechanical Failure,Electrical Fault,Power Grid Outage,Raw Material Shortage,Planned Maintenance,Quality Hold,Labour/Shift Change
2025-02-17,4.07,1.216,0.77,0.386,0.195,0.003,0.445,1.055
2025-02-18,0.32,0.081,0.038,0.014,0.11,0.0,0.077,0.001
2025-02-19,0.52,0.037,0.058,0.044,0.003,0.0,0.211,0.168
2025-02-20,1.79,0.247,0.154,0.134,0.003,0.657,0.264,0.331
2025-02-21,2.44,0.935,0.78,0.182,0.196,0.001,0.022,0.325
2025-02-22,10.6,3.001,2.839,0.85,1.605,0.0,1.727,0.58
2025-02-23,0.77,0.23,0.049,0.038,0.09,0.0,0.16,0.204
2025-02-24,0.6,0.245,0.057,0.129,0.046,0.0,0.089,0.034
2025-02-25,0.39,0.054,0.147,0.01,0.073,0.003,0.008,0.094
2025-02-26,0.37,0.061,0.117,0.015,0.107,0.001,0.031,0.038
2025-02-27,3.73,1.089,0.425,0.179,0.056,0.0,1.705,0.276
2025-02-28,0.17,0.086,0.018,0.005,0.023,0.0,0.012,0.025
2025-03-01,11.71,2.873,3.791,1.845,1.341,0.0,0.395,1.465
2025-03-02,0.56,0.287,0.023,0.092,0.102,0.02,0.012,0.023
2025-03-03,2.79,0.407,0.402,0.023,1.06,0.046,0.164,0.688
2025-03-04,0.15,0.007,0.035,0.0,0.08,0.0,0.026,0.001
2025-03-05,0.24,0.111,0.011,0.002,0.021,0.0,0.042,0.052
2025-03-06,2.41,1.158,0.219,0.262,0.298,0.03,0.203,0.239
2025-03-07,1.29,0.102,0.099,0.666,0.101,0.0,0.317,0.004
2025-03-08,5.84,2.431,2.061,0.42,0.453,0.318,0.156,0.001
2025-03-09,1.27,0.576,0.09,0.148,0.047,0.0,0.108,0.301
2025-03-10,1.45,0.058,0.393,0.097,0.691,0.0,0.021,0.19
2025-03-11,10.15,0.863,2.702,0.424,5.847,0.002,0.16,0.151
2025-03-12,0.98,0.217,0.254,0.173,0.228,0.0,0.077,0.031
2025-03-13,1.32,0.514,0.392,0.17,0.009,0.0,0.202,0.033
2025-03-14,2.56,0.9,0.719,0.102,0.197,0.008,0.155,0.478
2025-03-15,0.19,0.059,0.016,0.061,0.018,0.001,0.02,0.016
2025-03-16,0.64,0.058,0.143,0.083,0.111,0.0,0.07,0.175
2025-03-17,0.37,0.025,0.019,0.12,0.021,0.0,0.121,0.065
2025-03-18,1.25,0.562,0.235,0.015,0.069,0.002,0.0,0.367
2025-03-19,2.85,0.741,0.14,0.354,0.272,0.0,0.009,1.333
2025-03-20,8.58,2.31,3.546,1.028,0.187,0.006,0.382,1.121
2025-03-21,0.7,0.072,0.049,0.197,0.028,0.0,0.054,0.301
2025-03-22,0.22,0.05,0.098,0.022,0.043,0.0,0.001,0.005
2025-03-23,0.15,0.085,0.019,0.012,0.011,0.0,0.006,0.018
2025-03-24,0.83,0.332,0.197,0.128,0.023,0.001,0.049,0.1
2025-03-25,1.85,0.801,0.171,0.111,0.172,0.004,0.279,0.312
2025-03-26,1.13,0.381,0.472,0.07,0.038,0.0,0.025,0.143
2025-03-27,9.17,3.505,0.95,1.561,1.021,0.157,1.761,0.215
2025-03-28,0.84,0.272,0.071,0.089,0.18,0.004,0.056,0.168
2025-03-29,0.9,0.31,0.036,0.143,0.126,0.006,0.209,0.07
2025-03-30,0.62,0.147,0.032,0.195,0.03,0.0,0.18,0.036
2025-03-31,11.01,0.745,5.683,2.556,0.42,0.307,0.652,0.646
2025-04-01,3.21,0.689,0.134,0.402,0.605,0.0,1.262,0.117
2025-04-02,0.85,0.058,0.306,0.115,0.047,0.009,0.148,0.167
2025-04-03,0.4,0.062,0.164,0.004,0.108,0.0,0.027,0.034
2025-04-04,2.05,0.715,0.333,0.356,0.122,0.0,0.504,0.021
2025-04-05,0.67,0.216,0.27,0.01,0.081,0.0,0.036,0.056
2025-04-06,1.47,0.429,0.093,0.401,0.046,0.076,0.034,0.391
2025-04-07,2.47,0.576,0.316,0.89,0.177,0.0,0.386,0.125
2025-04-08,0.16,0.046,0.028,0.044,0.004,0.0,0.034,0.003
2025-04-09,9.22,3.341,1.762,3.217,0.635,0.007,0.234,0.024
2025-04-10,0.64,0.146,0.228,0.044,0.08,0.0,0.097,0.045
2025-04-11,0.8,0.191,0.299,0.081,0.029,0.02,0.162,0.019
2025-04-12,1.03,0.145,0.278,0.201,0.256,0.001,0.022,0.128
2025-04-13,0.65,0.251,0.094,0.02,0.122,0.0,0.056,0.106
2025-04-14,0.14,0.018,0.016,0.005,0.046,0.008,0.005,0.042
2025-04-15,3.2,2.128,0.725,0.004,0.131,0.0,0.128,0.084
2025-04-16,2.24,0.869,0.38,0.462,0.111,0.012,0.4,0.006
2025-04-17,1.38,0.258,0.347,0.182,0.084,0.0,0.344,0.165
2025-04-18,0.77,0.309,0.119,0.036,0.008,0.0,0.177,0.121
2025-04-19,0.12,0.017,0.015,0.001,0.026,0.001,0.044,0.015
2025-04-20,5.87,0.786,2.515,1.453,1.028,0.005,0.01,0.073
2025-04-21,2.77,0.973,0.521,0.573,0.439,0.0,0.143,0.121
2025-04-22,0.58,0.041,0.071,0.098,0.125,0.0,0.137,0.108
2025-04-23,8.45,3.554,2.571,0.549,0.654,0.09,0.611,0.42
2025-04-24,2.34,0.724,0.437,0.246,0.507,0.044,0.015,0.366
2025-04-25,5.96,2.13,0.918,0.689,0.917,0.028,0.374,0.903
2025-04-26,1.67,0.925,0.107,0.047,0.128,0.182,0.057,0.224
2025-04-27,2.24,0.758,0.535,0.087,0.009,0.0,0.425,0.426
2025-04-28,1.72,0.722,0.219,0.204,0.162,0.0,0.21,0.202
2025-04-29,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-30,0.06,0.023,0.001,0.006,0.005,0.0,0.002,0.023
2025-05-01,2.77,1.391,0.399,0.168,0.737,0.001,0.044,0.03
2025-05-02,0.97,0.276,0.365,0.131,0.002,0.08,0.017,0.099
2025-05-03,0.38,0.051,0.06,0.117,0.017,0.0,0.06,0.074
2025-05-04,0.13,0.008,0.002,0.007,0.072,0.0,0.03,0.011
2025-05-05,1.01,0.207,0.227,0.145,0.146,0.0,0.127,0.157
2025-05-06,1.16,0.547,0.081,0.007,0.032,0.0,0.491,0.002
2025-05-07,0.16,0.04,0.045,0.007,0.024,0.0,0.035,0.01
2025-05-08,0.37,0.039,0.124,0.002,0.044,0.0,0.137,0.025
2025-05-09,0.34,0.121,0.012,0.005,0.116,0.0,0.022,0.063
2025-05-10,3.04,1.498,0.254,0.236,0.641,0.001,0.009,0.401
2025-05-11,1.24,0.179,0.213,0.219,0.184,0.0,0.137,0.308
2025-05-12,1.29,0.256,0.456,0.291,0.221,0.001,0.038,0.026
2025-05-13,0.76,0.338,0.293,0.045,0.06,0.0,0.006,0.018
2025-05-14,1.42,0.339,0.132,0.267,0.406,0.056,0.034,0.187
2025-05-15,1.91,1.143,0.224,0.07,0.229,0.0,0.215,0.029
2025-05-16,0.8,0.147,0.178,0.34,0.027,0.003,0.087,0.019
2025-05-17,0.13,0.043,0.01,0.013,0.012,0.0,0.003,0.049
2025-05-18,17.7,0.885,0.531,0.354,0.354,15.045,0.354,0.177
2025-05-19,15.39,0.77,0.462,0.308,0.308,13.082,0.308,0.154
2025-05-20,10.61,0.53,0.318,0.212,0.212,9.018,0.212,0.106
2025-05-21,0.67,0.245,0.115,0.034,0.132,0.001,0.017,0.126
2025-05-22,1.33,0.148,0.209,0.56,0.025,0.01,0.349,0.029
2025-05-23,0.41,0.137,0.004,0.007,0.0,0.0,0.057,0.204
2025-05-24,0.47,0.19,0.137,0.007,0.065,0.0,0.017,0.054
2025-05-25,3.44,0.934,0.138,0.249,0.718,0.0,0.578,0.823
2025-05-26,2.63,0.436,1.525,0.198,0.132,0.0,0.07,0.269
2025-05-27,0.81,0.302,0.116,0.002,0.014,0.0,0.006,0.369
2025-05-28,1.8,0.542,0.247,0.128,0.029,0.0,0.272,0.581
2025-05-29,2.73,0.36,1.241,0.066,0.029,0.0,0.738,0.296
2025-05-30,0.46,0.217,0.06,0.076,0.012,0.012,0.024,0.06
2025-05-31,0.31,0.09,0.046,0.049,0.053,0.0,0.014,0.059
2025-06-01,4.25,1.34,0.144,0.556,0.657,0.0,0.467,1.086
2025-06-02,1.31,0.419,0.355,0.036,0.062,0.0,0.29,0.148
2025-06-03,3.48,0.958,0.069,0.433,1.851,0.0,0.013,0.156
2025-06-04,3.01,0.453,0.566,1.111,0.369,0.012,0.13,0.368
2025-06-05,2.17,0.951,0.298,0.126,0.316,0.162,0.308,0.009
2025-06-06,1.96,0.06,0.428,0.39,0.468,0.0,0.2,0.414
2025-06-07,1.98,0.556,0.63,0.149,0.136,0.332,0.134,0.044
2025-06-08,1.72,0.672,0.077,0.288,0.149,0.018,0.12,0.395
2025-06-09,2.6,0.88,0.401,0.197,0.357,0.219,0.049,0.497
2025-06-10,1.5,0.3,0.374,0.403,0.0,0.004,0.062,0.357
2025-06-11,0.79,0.048,0.377,0.072,0.12,0.0,0.016,0.157
2025-06-12,1.51,0.241,0.11,0.127,0.105,0.016,0.066,0.846
2025-06-13,1.84,0.564,0.085,0.329,0.339,0.0,0.029,0.493
2025-06-14,2.52,1.077,0.069,0.444,0.347,0.003,0.205,0.375
2025-06-15,2.57,0.544,0.411,0.009,1.175,0.027,0.241,0.162
2025-06-16,4.9,2.277,1.009,0.189,0.259,0.001,0.114,1.05
2025-06-17,2.52,1.31,0.124,0.741,0.287,0.0,0.035,0.023
2025-06-18,2.23,0.443,0.846,0.074,0.373,0.0,0.359,0.135
2025-06-19,1.26,0.247,0.304,0.262,0.202,0.054,0.031,0.161
2025-06-20,2.07,0.91,0.23,0.002,0.113,0.0,0.403,0.411
2025-06-21,3.59,1.678,0.217,0.257,0.64,0.0,0.604,0.193
2025-06-22,2.35,0.415,1.214,0.315,0.037,0.0,0.002,0.367
2025-06-23,1.64,0.202,0.312,0.599,0.279,0.0,0.108,0.139
2025-06-24,2.76,0.198,0.141,0.313,0.21,0.0,1.316,0.583
2025-06-25,3.08,1.714,0.166,0.077,0.15,0.0,0.52,0.453
2025-06-26,3.23,1.036,0.638,1.16,0.184,0.002,0.128,0.082
2025-06-27,2.33,0.835,1.022,0.218,0.188,0.002,0.022,0.043
2025-06-28,3.5,0.993,0.327,1.026,0.031,0.0,0.747,0.376
2025-06-29,1.33,0.317,0.111,0.206,0.372,0.0,0.079,0.245
2025-06-30,1.75,0.816,0.239,0.141,0.076,0.0,0.076,0.402
2025-07-01,10.6,0.543,4.762,3.112,0.462,1.097,0.194,0.43
2025-07-02,2.03,0.825,0.591,0.392,0.027,0.006,0.085,0.104
2025-07-03,1.62,0.195,0.603,0.4,0.06,0.0,0.348,0.014
2025-07-04,11.43,2.194,7.927,0.653,0.387,0.0,0.266,0.003
2025-07-05,0.64,0.173,0.275,0.005,0.092,0.0,0.085,0.011
2025-07-06,2.02,0.631,1.044,0.101,0.003,0.059,0.071,0.111
2025-07-07,0.78,0.102,0.069,0.447,0.071,0.001,0.052,0.038
2025-07-08,4.52,0.979,1.792,0.223,0.079,0.0,1.322,0.125
2025-07-09,2.1,0.274,0.073,0.746,0.079,0.0,0.624,0.304
2025-07-10,1.7,0.361,0.034,0.017,0.662,0.001,0.036,0.588
2025-07-11,2.99,0.271,1.093,0.521,0.43,0.001,0.62,0.055
2025-07-12,2.26,1.072,0.337,0.011,0.385,0.253,0.107,0.094
2025-07-13,1.38,0.608,0.3,0.212,0.221,0.0,0.02,0.019
2025-07-14,1.74,0.308,0.359,0.121,0.115,0.0,0.043,0.794
2025-07-15,1.15,0.217,0.31,0.099,0.003,0.0,0.206,0.314
2025-07-16,0.97,0.279,0.078,0.016,0.33,0.0,0.23,0.038
2025-07-17,2.12,0.372,0.027,0.139,0.03,0.0,0.053,1.499
2025-07-18,9.18,4.948,1.268,0.9,0.881,0.413,0.7,0.07
2025-07-19,1.47,0.741,0.117,0.084,0.059,0.001,0.348,0.119
2025-07-20,1.55,0.996,0.148,0.152,0.027,0.003,0.032,0.19
2025-07-21,1.72,0.747,0.124,0.699,0.002,0.005,0.095,0.048
2025-07-22,1.66,0.256,0.672,0.025,0.264,0.001,0.204,0.238
2025-07-23,1.8,0.295,0.768,0.248,0.016,0.001,0.132,0.34
2025-07-24,4.34,0.833,0.809,0.317,1.343,0.01,0.849,0.179
2025-07-25,1.81,0.444,0.773,0.046,0.054,0.015,0.21,0.268
2025-07-26,1.86,0.402,0.546,0.052,0.218,0.0,0.051,0.591
2025-07-27,2.0,0.726,0.217,0.303,0.351,0.0,0.177,0.226
2025-07-28,5.46,0.506,0.866,1.301,1.825,0.0,0.042,0.92
2025-07-29,1.87,0.263,0.603,0.304,0.161,0.053,0.271,0.216
2025-07-30,2.58,1.156,0.976,0.172,0.024,0.001,0.168,0.084
2025-07-31,1.45,0.385,0.198,0.191,0.349,0.0,0.079,0.248
2025-08-01,7.29,1.969,0.669,1.067,0.271,0.091,1.096,2.127
2025-08-02,2.95,0.598,0.809,0.659,0.134,0.568,0.092,0.09
2025-08-03,2.58,0.53,0.172,0.193,0.023,0.001,0.207,1.454
2025-08-04,0.55,0.209,0.202,0.025,0.074,0.0,0.031,0.009
2025-08-05,1.16,0.098,0.269,0.19,0.437,0.0,0.148,0.018
2025-08-06,1.81,0.246,0.972,0.216,0.066,0.0,0.009,0.3
2025-08-07,1.12,0.294,0.189,0.044,0.107,0.0,0.318,0.168
2025-08-08,1.75,0.27,0.281,0.009,0.666,0.0,0.355,0.17
2025-08-09,1.4,0.108,0.446,0.151,0.085,0.112,0.359,0.138
2025-08-10,2.17,0.222,1.155,0.548,0.026,0.0,0.022,0.196
2025-08-11,0.49,0.175,0.066,0.085,0.003,0.0,0.027,0.134
2025-08-12,1.79,0.402,0.441,0.698,0.145,0.0,0.059,0.044
2025-08-13,3.7,1.722,0.053,0.714,0.177,0.0,0.629,0.406
2025-08-14,1.78,0.185,0.237,0.852,0.051,0.012,0.118,0.324
2025-08-15,1.53,0.254,0.484,0.114,0.232,0.0,0.13,0.316
2025-08-16,1.49,0.443,0.009,0.38,0.464,0.002,0.073,0.119
2025-08-17,4.59,1.545,1.959,0.039,0.846,0.003,0.003,0.194
2025-08-18,2.7,0.994,1.062,0.324,0.037,0.0,0.12,0.163
2025-08-19,3.36,0.433,0.65,0.609,0.269,0.0,0.605,0.794
2025-08-20,2.88,0.271,0.425,0.784,0.697,0.0,0.377,0.327
2025-08-21,1.77,0.529,0.131,0.081,0.442,0.047,0.517,0.023
2025-08-22,14.04,0.702,0.421,0.281,0.281,11.934,0.281,0.14
2025-08-23,16.02,0.801,0.481,0.32,0.32,13.617,0.32,0.16
2025-08-24,1.03,0.063,0.111,0.182,0.227,0.0,0.425,0.023
2025-08-25,2.26,0.265,1.184,0.107,0.045,0.017,0.484,0.157
2025-08-26,1.1,0.34,0.394,0.081,0.009,0.0,0.221,0.054
2025-08-27,1.74,0.384,0.174,0.116,0.155,0.194,0.234,0.484
2025-08-28,4.14,3.096,0.464,0.102,0.25,0.109,0.008,0.111
2025-08-29,3.11,1.527,0.082,0.182,0.078,0.281,0.638,0.323
2025-08-30,1.32,0.226,0.032,0.077,0.194,0.001,0.573,0.217
2025-08-31,1.52,0.245,0.541,0.056,0.035,0.261,0.334,0.048
2025-09-01,3.06,0.908,0.702,0.869,0.214,0.004,0.099,0.264
2025-09-02,3.55,0.629,0.698,0.374,0.392,0.0,0.844,0.613
2025-09-03,5.57,2.474,1.658,0.252,0.246,0.0,0.482,0.457
2025-09-04,2.16,0.376,0.131,0.487,1.09,0.017,0.032,0.026
2025-09-05,1.35,0.713,0.035,0.293,0.068,0.0,0.205,0.037
2025-09-06,2.15,0.777,0.206,0.016,0.292,0.0,0.545,0.314
2025-09-07,2.51,1.573,0.57,0.008,0.226,0.0,0.049,0.083
2025-09-08,1.4,0.529,0.203,0.103,0.138,0.003,0.192,0.232
2025-09-09,0.43,0.074,0.094,0.058,0.043,0.0,0.092,0.07
2025-09-10,4.8,0.943,1.226,0.78,0.527,0.001,1.085,0.238
2025-09-11,2.07,0.432,0.473,0.282,0.14,0.004,0.569,0.169
2025-09-12,2.11,0.298,0.245,0.291,0.818,0.094,0.35,0.015
2025-09-13,0.47,0.202,0.097,0.045,0.032,0.087,0.005,0.002
2025-09-14,1.92,0.481,0.64,0.092,0.368,0.007,0.084,0.249
2025-09-15,4.05,0.265,1.964,0.618,0.151,0.0,0.378,0.674
2025-09-16,8.48,2.978,1.949,2.597,0.529,0.0,0.209,0.219
2025-09-17,2.62,0.918,0.773,0.063,0.245,0.0,0.171,0.45
2025-09-18,2.11,0.052,0.115,0.489,0.648,0.0,0.128,0.677
2025-09-19,3.13,0.409,0.656,0.977,0.26,0.113,0.132,0.583
2025-09-20,2.49,0.92,0.157,0.167,0.61,0.0,0.604,0.032
2025-09-21,1.1,0.229,0.098,0.125,0.299,0.0,0.314,0.035
2025-09-22,1.27,0.485,0.101,0.176,0.098,0.001,0.373,0.038
2025-09-23,3.81,0.334,0.274,2.053,1.02,0.0,0.102,0.027
2025-09-24,2.83,0.847,0.242,0.206,0.197,0.041,1.07,0.227
2025-09-25,2.62,0.315,0.563,0.443,0.408,0.0,0.421,0.47
2025-09-26,1.29,0.433,0.085,0.138,0.021,0.026,0.574,0.012
2025-09-27,1.21,0.194,0.321,0.157,0.009,0.045,0.368,0.116
2025-09-28,1.2,0.11,0.3,0.178,0.221,0.055,0.194,0.142
2025-09-29,1.14,0.456,0.071,0.009,0.026,0.001,0.219,0.359
2025-09-30,2.29,0.613,0.732,0.049,0.116,0.0,0.778,0.001
2025-10-01,1.32,0.37,0.233,0.06,0.127,0.0,0.228,0.303
2025-10-02,0.68,0.268,0.167,0.049,0.043,0.006,0.039,0.108
2025-10-03,2.69,0.382,0.161,1.382,0.114,0.007,0.566,0.077
2025-10-04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-06,1.18,0.398,0.364,0.058,0.189,0.0,0.112,0.06
2025-10-07,2.88,0.556,0.175,0.738,0.26,0.0,0.261,0.889
2025-10-08,10.14,2.389,4.768,2.159,0.286,0.039,0.409,0.089
2025-10-09,0.37,0.109,0.062,0.004,0.072,0.0,0.075,0.048
2025-10-10,0.45,0.033,0.109,0.037,0.066,0.0,0.127,0.077
2025-10-11,0.2,0.1,0.01,0.02,0.013,0.001,0.047,0.01
2025-10-12,1.16,0.401,0.147,0.084,0.286,0.0,0.18,0.063
2025-10-13,8.57,2.754,1.718,1.864,0.54,0.0,1.176,0.517
2025-10-14,1.08,0.453,0.045,0.151,0.012,0.048,0.218,0.153
2025-10-15,2.16,0.177,0.237,0.379,0.036,0.01,1.071,0.251
2025-10-16,3.2,0.955,0.857,0.432,0.469,0.0,0.058,0.429
2025-10-17,0.76,0.175,0.147,0.071,0.126,0.0,0.178,0.063
2025-10-18,0.58,0.26,0.093,0.087,0.108,0.002,0.002,0.029
2025-10-19,1.03,0.227,0.054,0.348,0.005,0.0,0.037,0.358
2025-10-20,0.63,0.017,0.14,0.108,0.121,0.0,0.201,0.042
2025-10-21,1.36,0.133,0.009,0.041,0.168,0.0,0.476,0.532
2025-10-22,0.86,0.185,0.232,0.162,0.249,0.0,0.029,0.002
2025-10-23,1.84,0.882,0.206,0.046,0.217,0.07,0.117,0.301
2025-10-24,0.62,0.092,0.167,0.024,0.272,0.0,0.047,0.018
2025-10-25,1.58,0.402,0.073,0.076,0.553,0.0,0.25,0.226
2025-10-26,2.05,0.392,0.372,0.151,0.07,0.0,0.963,0.102
2025-10-27,2.15,0.416,0.032,0.186,0.892,0.0,0.543,0.08
2025-10-28,0.69,0.18,0.097,0.148,0.021,0.0,0.033,0.211
2025-10-29,8.45,1.454,4.419,0.973,0.26,0.003,1.281,0.06
2025-10-30,0.86,0.155,0.074,0.259,0.171,0.0,0.166,0.036
2025-10-31,0.37,0.111,0.14,0.041,0.01,0.006,0.061,0.001
2025-11-01,1.13,0.272,0.034,0.187,0.0,0.0,0.586,0.051
2025-11-02,3.08,0.226,0.113,0.194,0.624,0.0,0.579,1.345
2025-11-03,1.87,0.388,0.304,0.155,0.073,0.021,0.71,0.218
2025-11-04,0.5,0.13,0.058,0.22,0.049,0.001,0.041,0.0
2025-11-05,1.43,0.609,0.029,0.384,0.344,0.003,0.056,0.004
2025-11-06,2.2,0.4,0.541,0.287,0.208,0.0,0.356,0.409
2025-11-07,0.79,0.137,0.396,0.117,0.011,0.026,0.091,0.013
2025-11-08,0.64,0.31,0.084,0.035,0.012,0.007,0.157,0.035
2025-11-09,2.24,0.659,0.244,0.283,0.392,0.0,0.042,0.62
2025-11-10,1.41,0.269,0.268,0.426,0.291,0.0,0.012,0.144
2025-11-11,4.39,0.514,1.466,0.098,1.747,0.03,0.18,0.355
2025-11-12,8.51,1.253,2.746,3.069,0.284,0.004,1.153,0.0
2025-11-13,0.65,0.171,0.094,0.022,0.052,0.0,0.29,0.023
2025-11-14,16.0,0.8,0.48,0.32,0.32,13.6,0.32,0.16
2025-11-15,17.53,0.876,0.526,0.351,0.351,14.901,0.351,0.175
2025-11-16,0.84,0.507,0.147,0.01,0.068,0.003,0.001,0.106
2025-11-17,0.45,0.23,0.03,0.011,0.149,0.0,0.021,0.009
2025-11-18,1.13,0.51,0.04,0.052,0.347,0.006,0.136,0.038
2025-11-19,1.92,0.024,0.394,0.092,0.57,0.023,0.756,0.061
2025-11-20,0.74,0.28,0.204,0.135,0.057,0.0,0.059,0.005
2025-11-21,2.18,0.885,0.245,0.609,0.142,0.0,0.049,0.25
2025-11-22,0.37,0.039,0.112,0.014,0.101,0.003,0.052,0.05
2025-11-23,0.42,0.287,0.019,0.033,0.056,0.0,0.008,0.017
2025-11-24,1.38,0.095,0.184,0.494,0.366,0.0,0.22,0.021
2025-11-25,1.1,0.104,0.135,0.129,0.111,0.0,0.54,0.082
2025-11-26,5.7,0.579,1.971,2.274,0.074,0.014,0.42,0.369
2025-11-27,0.69,0.105,0.127,0.254,0.124,0.002,0.034,0.044
2025-11-28,0.5,0.074,0.217,0.081,0.015,0.0,0.013,0.101
2025-11-29,1.87,0.59,0.512,0.1,0.246,0.0,0.103,0.319
2025-11-30,0.7,0.07,0.166,0.22,0.072,0.015,0.052,0.104
2025-12-01,4.75,1.873,0.802,0.013,1.146,0.017,0.434,0.463
2025-12-02,6.76,2.62,1.908,0.761,0.136,0.058,0.652,0.625
2025-12-03,6.88,1.956,3.302,0.848,0.045,0.02,0.331,0.377
2025-12-04,5.18,0.996,1.944,1.282,0.213,0.007,0.1,0.639
2025-12-05,1.87,0.502,0.75,0.113,0.011,0.0,0.491,0.003
2025-12-06,0.15,0.022,0.027,0.002,0.061,0.0,0.009,0.029
2025-12-07,0.59,0.186,0.056,0.143,0.076,0.003,0.026,0.101
2025-12-08,8.4,3.09,2.595,0.451,0.955,0.004,1.274,0.031
2025-12-09,1.31,0.219,0.502,0.231,0.037,0.0,0.045,0.276
2025-12-10,1.05,0.296,0.295,0.102,0.18,0.0,0.038,0.139
2025-12-11,2.93,0.632,1.664,0.297,0.088,0.063,0.146,0.041
2025-12-12,3.85,0.878,1.137,0.281,1.07,0.0,0.119,0.366
2025-12-13,5.93,3.432,0.34,0.75,0.704,0.0,0.568,0.136
2025-12-14,0.88,0.137,0.105,0.069,0.248,0.0,0.204,0.117
2025-12-15,0.72,0.304,0.05,0.076,0.079,0.053,0.066,0.091
2025-12-16,0.29,0.072,0.145,0.027,0.019,0.0,0.001,0.026
2025-12-17,0.49,0.078,0.092,0.018,0.053,0.0,0.21,0.039
2025-12-18,0.44,0.195,0.006,0.006,0.017,0.003,0.035,0.178
2025-12-19,2.36,0.817,0.334,0.748,0.066,0.027,0.226,0.142
2025-12-20,0.34,0.073,0.065,0.032,0.012,0.003,0.046,0.109
2025-12-21,0.74,0.104,0.216,0.045,0.061,0.0,0.095,0.219
