Date,Production_Tonnes,Target_Tonnes,Achievement_Percent,Yield_Percent,Downtime_Hours,Downtime_Primary_Reason,Energy_Consumption_MWh,Energy_Rate_kWh_per_Tonne,Energy_Cost_INR,Coal_Consumption_Tonnes,Coal_Rate_kg_per_Tonne,Steam_Consumption_Tonnes,Steam_Rate_per_Tonne,Water_Consumption_KL,Water_Rate_KL_per_Tonne,Defect_Percent,Defect_Tonnes,Manufacturing_Cost_per_Tonne_INR,Total_Manufacturing_Cost_INR,Selling_Price_per_Tonne_INR,Revenue_INR,Profit_per_Tonne_INR
2025-01-14,2287.95,2379.33,96.16,95.69,0.34,Normal,1600.68,699.6,11504501.33,1159.36,506.7,3290.47,1.438,9016.33,3.941,1.0,22.88,30924.1,70752688.12,47002.0,107538065.3,16077.9
2025-01-15,2321.43,2434.72,95.35,94.13,0.05,Normal,1510.13,650.5,10822783.98,1177.51,507.2,3490.61,1.504,8907.57,3.837,1.02,23.73,31822.86,73874601.3,47078.07,109288513.42,15255.2
2025-01-16,2129.36,2369.62,89.86,92.98,1.28,Normal,1498.45,703.7,10686613.05,1041.21,489.0,3494.78,1.641,8733.03,4.101,1.56,33.16,30652.22,65269615.03,47188.21,100480708.15,16535.99
2025-01-17,2145.79,2431.83,88.24,92.16,2.62,Minor Stoppage,1512.19,704.7,10744097.45,1059.86,493.9,3175.32,1.48,7913.77,3.688,1.83,39.21,31627.91,67866702.39,47016.59,100887522.12,15388.69
2025-01-18,2245.95,2393.4,93.84,93.08,1.21,Normal,1556.95,693.2,11072914.73,1087.48,484.2,3389.32,1.509,9355.58,4.166,1.08,24.18,31524.78,70803092.24,46868.06,105263318.78,15343.27
2025-01-19,2184.25,2432.0,89.81,92.64,1.61,Minor Stoppage,1541.1,705.6,10940257.19,1056.74,483.8,3530.19,1.616,8934.67,4.091,1.59,34.66,31228.4,68210560.68,46792.49,102206379.54,15564.09
2025-01-20,2124.38,2413.15,88.03,91.8,1.78,Minor Stoppage,1423.44,670.1,10156073.46,1110.95,523.0,3231.03,1.521,8503.97,4.003,1.45,30.85,31358.03,66616395.58,46729.71,99271686.8,15371.68
2025-01-21,2289.47,2414.24,94.83,93.05,0.83,Normal,1670.43,729.6,11973328.85,1059.44,462.7,3215.02,1.404,9598.98,4.193,1.2,27.45,31272.19,71596687.29,46645.81,106794097.24,15373.62
2025-01-22,1911.64,2399.87,79.66,91.64,4.36,Minor Stoppage,1325.81,693.5,9514219.09,928.82,485.9,2646.0,1.384,6973.91,3.648,1.63,31.17,30843.79,58962098.79,46620.2,89120857.45,15776.41
2025-01-23,1972.6,2404.66,82.03,91.64,3.59,Minor Stoppage,1341.79,680.2,9643287.01,947.07,480.1,2941.74,1.491,8088.51,4.1,1.87,36.88,31396.06,61931911.91,46572.05,91868105.39,15176.0
2025-01-24,2216.29,2403.36,92.22,93.42,1.08,Normal,1560.92,704.3,11320512.2,1066.45,481.2,3712.7,1.675,8417.31,3.798,1.69,37.4,30909.04,68503467.28,46500.12,103057851.1,15591.08
2025-01-25,2244.86,2368.14,94.79,94.42,0.59,Normal,1485.87,661.9,10737674.37,1131.08,503.9,3579.11,1.594,8716.13,3.883,1.19,26.68,30524.14,68522433.23,46662.59,104751014.83,16138.45
2025-01-26,2021.18,2398.28,84.28,92.46,3.04,Minor Stoppage,1414.25,699.7,10176220.55,995.3,492.4,3146.83,1.557,7516.43,3.719,1.45,29.36,30597.04,61842020.41,46815.91,94623226.63,16218.87
2025-01-27,2333.76,2404.98,97.04,93.39,0.44,Normal,1690.44,724.3,12152546.94,1196.02,512.5,3320.49,1.423,9735.31,4.172,1.88,43.95,31570.9,73678907.29,46604.86,108764551.31,15033.96
2025-01-28,2077.0,2382.25,87.19,93.64,1.29,Normal,1410.47,679.1,10174954.1,1017.59,489.9,3182.48,1.532,8890.94,4.281,1.28,26.52,30627.62,63613491.28,46590.11,96767540.41,15962.49
2025-01-29,2312.81,2398.87,96.41,94.64,0.26,Normal,1536.33,664.3,11062509.5,1110.89,480.3,3433.78,1.485,9284.49,4.014,1.0,23.13,30267.53,70003196.79,46577.88,107725997.27,16310.34
2025-01-30,2204.02,2400.63,91.81,93.41,1.72,Minor Stoppage,1458.97,662.0,10532314.4,1069.28,485.1,3251.24,1.475,8470.87,3.843,1.07,23.61,30334.83,66858599.63,46680.05,102883797.33,16345.22
2025-01-31,2240.82,2385.18,93.95,94.03,1.09,Normal,1473.59,657.6,10599374.67,1101.67,491.6,3243.93,1.448,8530.13,3.807,1.0,22.41,30936.11,69322370.16,46706.23,104660426.27,15770.12
2025-02-01,2116.3,2433.66,86.96,93.99,2.66,Minor Stoppage,1411.61,667.0,10220514.33,1032.79,488.0,2952.73,1.395,7452.69,3.522,1.36,28.71,31480.61,66622569.73,46709.56,98851661.91,15228.95
2025-02-02,2255.98,2421.91,93.15,93.02,0.72,Normal,1491.67,661.2,10775801.81,1015.08,450.0,3368.65,1.493,9157.77,4.059,1.27,28.63,31232.97,70460950.01,46622.68,105179807.87,15389.7
2025-02-03,2167.82,2412.01,89.88,93.45,1.74,Minor Stoppage,1443.95,666.1,10387692.86,1083.99,500.0,3198.53,1.475,7845.17,3.619,1.01,21.98,31324.57,67905923.57,46485.98,100773064.24,15161.4
2025-02-04,1525.34,2424.02,62.93,90.41,7.81,Minor Stoppage,1098.3,720.0,7926506.7,735.18,482.0,2162.0,1.417,6166.09,4.042,2.54,38.68,31288.72,47725951.88,46544.54,70996282.67,15255.83
2025-02-05,2271.26,2443.7,92.94,92.98,0.94,Normal,1580.04,695.7,11452291.88,1034.0,455.3,3579.07,1.576,8943.01,3.937,1.31,29.78,31594.94,71760289.95,46463.37,105530352.29,14868.43
2025-02-06,2012.5,2386.55,84.33,92.43,2.65,Minor Stoppage,1422.03,706.6,10311143.93,964.14,479.1,3110.35,1.546,7609.87,3.781,1.85,37.18,31071.11,62530641.69,46524.5,93630603.96,15453.39
2025-02-07,2113.03,2438.71,86.65,91.97,2.49,Minor Stoppage,1529.51,723.8,11108904.97,1032.73,488.7,3094.39,1.464,8226.35,3.893,1.51,31.99,31010.47,65526165.83,46640.16,98552220.49,15629.69
2025-02-08,2061.04,2434.6,84.66,91.68,3.38,Minor Stoppage,1425.27,691.5,10387552.53,987.16,479.0,3527.43,1.711,8139.63,3.949,1.71,35.18,31242.77,64392480.55,46854.02,96567845.19,15611.25
2025-02-09,2235.67,2428.85,92.05,92.23,1.32,Normal,1541.85,689.7,11241783.07,1103.02,493.4,3447.21,1.542,8613.98,3.853,2.23,49.94,31279.41,69930368.54,46982.54,105037369.76,15703.14
2025-02-10,1325.35,2411.26,54.97,88.99,10.04,Planned Maintenance,927.55,699.9,6727003.03,625.15,471.7,1960.5,1.479,4803.35,3.624,3.05,40.41,31316.13,41504777.61,46949.81,62224848.48,15633.68
2025-02-11,638.53,2379.55,26.83,88.09,17.32,Planned Maintenance,431.79,676.2,3138180.83,306.89,480.6,965.87,1.513,2445.94,3.831,2.57,16.39,31408.63,20055198.84,46855.91,29918671.1,15447.28
2025-02-12,1590.32,2430.11,65.44,90.35,7.78,Unplanned Breakdown,1091.32,686.2,7980845.23,711.32,447.3,2121.7,1.334,6225.05,3.914,2.36,37.52,31266.4,49723731.03,46687.01,74247503.5,15420.61
2025-02-13,2382.58,2408.33,98.93,93.97,0.26,Normal,1658.65,696.2,12073583.3,1156.88,485.6,3709.77,1.557,9387.17,3.94,1.44,34.35,31117.68,74140358.14,46772.32,111438809.81,15654.65
2025-02-14,2326.18,2426.66,95.86,93.6,0.72,Normal,1599.8,687.7,11585144.79,1190.15,511.6,3684.48,1.584,8895.11,3.824,1.1,25.49,30673.39,71351813.56,46585.53,108366308.44,15912.14
2025-02-15,2409.82,2429.09,99.21,93.56,0.19,Normal,1605.28,666.1,11644044.1,1191.23,494.3,3643.7,1.512,9420.21,3.909,1.18,28.32,31179.81,75137668.0,46622.46,112351650.45,15442.65
2025-02-16,2329.5,2394.35,97.29,93.45,0.17,Normal,1553.08,666.7,11229161.68,1161.32,498.5,3176.96,1.364,9917.37,4.257,1.35,31.36,31358.17,73048945.96,46653.19,108678734.55,15295.02
2025-02-17,1991.8,2434.74,81.81,90.97,4.07,Minor Stoppage,1343.47,674.5,9714661.19,1004.5,504.3,2867.33,1.44,7662.68,3.847,1.73,34.39,30740.81,61229464.97,46542.4,92703022.84,15801.59
2025-02-18,2334.89,2399.72,97.3,93.68,0.32,Normal,1535.9,657.8,11138410.99,1131.58,484.6,3484.39,1.492,10010.42,4.287,1.22,28.39,30971.57,72315241.84,46538.2,108661644.96,15566.64
2025-02-19,2396.63,2446.56,97.96,93.7,0.52,Normal,1665.07,694.8,11996704.46,1154.96,481.9,3713.94,1.55,9692.98,4.044,1.45,34.69,30732.29,73653822.63,46583.82,111644015.1,15851.53
2025-02-20,2217.8,2429.16,91.3,92.83,1.79,Minor Stoppage,1537.86,693.4,11089779.58,1108.65,499.9,3513.56,1.584,8849.28,3.99,1.0,22.18,31365.49,69562512.23,46587.22,103321329.77,15221.73
2025-02-21,2076.29,2420.45,85.78,92.39,2.44,Minor Stoppage,1432.65,690.0,10310526.49,1074.7,517.6,3041.4,1.465,9056.26,4.362,1.52,31.6,31233.92,64850738.72,46711.04,96985771.29,15477.13
2025-02-22,1315.72,2397.72,54.87,90.22,10.6,Unplanned Breakdown,952.2,723.7,6833246.33,639.21,485.8,2006.62,1.525,4709.68,3.58,2.39,31.42,30617.44,40283989.16,46606.33,61320891.88,15988.89
2025-02-23,2233.57,2431.9,91.84,92.07,0.77,Normal,1471.82,659.0,10592362.79,1098.95,492.0,3231.72,1.447,9585.96,4.292,1.36,30.45,31710.01,70826366.08,46417.93,103677471.49,14707.92
2025-02-24,2250.06,2421.11,92.94,92.99,0.6,Normal,1513.59,672.7,10839719.91,1146.02,509.3,3307.31,1.47,8603.56,3.824,1.35,30.41,30878.05,69477525.59,46700.82,105079740.47,15822.77
2025-02-25,2318.7,2434.07,95.26,93.69,0.39,Normal,1525.65,658.0,10930828.11,1074.78,463.5,3301.7,1.424,8787.33,3.79,1.48,34.4,31135.33,72193342.92,46784.19,108478278.48,15648.86
2025-02-26,2346.6,2404.09,97.61,92.69,0.37,Normal,1630.42,694.8,11693248.36,1174.47,500.5,3596.04,1.532,9805.86,4.179,1.02,23.85,31278.8,73398795.33,46887.08,110025189.17,15608.29
2025-02-27,1969.55,2435.13,80.88,91.69,3.73,Minor Stoppage,1377.89,699.6,9899384.46,989.12,502.2,3083.17,1.565,7144.84,3.628,1.65,32.5,31196.48,61443014.75,46897.88,92367688.99,15701.4
2025-02-28,2342.5,2431.3,96.35,93.2,0.17,Normal,1598.52,682.4,11542517.58,1098.76,469.1,3478.83,1.485,9133.03,3.899,1.49,34.94,31080.42,72806013.49,46918.83,109907554.35,15838.41
2025-03-01,1182.93,2422.85,48.82,89.63,11.71,Unplanned Breakdown,820.78,693.9,5912969.01,625.61,528.9,1816.04,1.535,4583.26,3.874,3.05,36.09,30984.5,36652594.47,47003.84,55602406.39,16019.34
2025-03-02,2343.44,2453.66,95.51,93.24,0.56,Normal,1533.25,654.3,10975505.07,1130.82,482.5,3469.94,1.481,9580.03,4.088,1.87,43.79,30722.83,71997195.52,47177.09,110556825.56,16454.26
2025-03-03,2103.46,2448.77,85.9,92.8,2.79,Minor Stoppage,1459.8,694.0,10477864.08,1091.54,518.9,3140.1,1.493,9171.16,4.36,1.64,34.53,30923.42,65046300.86,47393.2,99689894.17,16469.78
2025-03-04,2390.3,2449.4,97.59,93.06,0.15,Normal,1516.72,634.5,10865835.41,1078.91,451.4,3735.72,1.563,9815.46,4.106,1.25,29.78,30752.55,73507908.69,47387.48,113270438.55,16634.93
2025-03-05,2330.02,2449.95,95.1,93.43,0.24,Normal,1466.11,629.2,10492364.89,1124.76,482.7,3830.12,1.644,9693.37,4.16,1.31,30.55,30878.58,71947694.88,47456.19,110573844.2,16577.61
2025-03-06,2147.76,2470.99,86.92,92.27,2.41,Minor Stoppage,1492.18,694.8,10719036.03,1087.69,506.4,3447.99,1.605,8697.12,4.049,1.87,40.07,31901.52,68516654.15,47373.48,101746641.28,15471.96
2025-03-07,2230.22,2476.04,90.07,92.76,1.29,Normal,1546.82,693.6,11135828.55,1080.93,484.7,3653.56,1.638,9164.16,4.109,1.39,30.97,31166.55,69508328.88,47387.89,105685507.1,16221.34
2025-03-08,1836.02,2459.2,74.66,91.39,5.84,Unplanned Breakdown,1304.08,710.3,9315317.67,879.03,478.8,2738.55,1.492,8161.49,4.445,2.24,41.2,30637.13,56250388.94,47319.16,86878910.36,16682.02
2025-03-09,2314.4,2462.01,94.0,93.52,1.27,Normal,1533.92,662.8,10972024.74,1133.48,489.8,3442.58,1.487,9872.3,4.266,1.34,30.96,30308.31,70145530.79,47347.38,109580745.55,17039.07
2025-03-10,2242.87,2432.67,92.2,92.25,1.45,Normal,1496.7,667.3,10635919.76,1099.22,490.1,3317.78,1.479,9663.22,4.308,2.0,44.77,31334.4,70278905.92,47180.34,105819258.93,15845.94
2025-03-11,1348.31,2437.42,55.32,91.19,10.15,Unplanned Breakdown,943.78,700.0,6735950.62,673.21,499.3,2014.74,1.494,5380.69,3.991,2.15,28.95,31403.08,42341023.3,47186.57,63622041.39,15783.5
2025-03-12,2321.3,2460.99,94.32,93.37,0.98,Normal,1411.66,608.1,10163682.55,1143.21,492.5,3595.75,1.549,8673.89,3.737,1.57,36.48,30919.0,71772347.69,47416.26,110067472.1,16497.26
2025-03-13,2238.94,2447.14,91.49,93.26,1.32,Normal,1521.42,679.5,10963096.05,1150.62,513.9,3472.81,1.551,8315.96,3.714,2.03,45.46,31793.35,71183255.93,47278.7,105853929.0,15485.34
2025-03-14,2104.62,2454.54,85.74,92.94,2.56,Minor Stoppage,1347.2,640.1,9669966.33,1081.45,513.8,3263.91,1.551,9097.09,4.322,1.53,32.14,31057.9,65365100.15,47293.16,99534154.73,16235.26
2025-03-15,2251.02,2434.57,92.46,92.5,0.19,Normal,1466.92,651.7,10502890.17,1121.13,498.1,3652.78,1.623,7738.41,3.438,1.48,33.4,30892.25,69539204.07,47300.25,106474028.48,16408.01
2025-03-16,2315.73,2466.89,93.87,94.14,0.64,Normal,1703.56,735.6,12234251.86,1174.63,507.2,3546.23,1.531,9153.57,3.953,1.0,23.16,31290.09,72459447.41,47296.21,109525323.44,16006.12
2025-03-17,2266.82,2435.74,93.06,92.22,0.37,Normal,1638.85,723.0,11807529.99,1097.46,484.1,3371.36,1.487,8518.04,3.758,1.79,40.6,31386.72,71148083.47,47517.81,107714385.96,16131.09
2025-03-18,2200.91,2453.33,89.71,93.9,1.25,Normal,1461.22,663.9,10530538.3,1108.15,503.5,3368.97,1.531,8647.4,3.929,1.06,23.37,31262.01,68804832.81,47577.76,104714304.16,16315.75
2025-03-19,2053.7,2430.55,84.5,92.95,2.85,Minor Stoppage,1442.26,702.3,10369651.02,1083.84,527.8,2952.07,1.437,9355.99,4.556,1.21,24.8,30684.17,63016058.9,47640.69,97839657.49,16956.52
2025-03-20,1526.77,2438.98,62.6,91.08,8.58,Unplanned Breakdown,1031.73,675.8,7375569.6,753.33,493.4,2490.37,1.631,6747.46,4.419,2.74,41.78,31089.96,47467321.39,47708.96,72840783.77,16619.01
2025-03-21,2308.02,2474.43,93.28,92.9,0.7,Normal,1537.49,666.1,10934686.83,1143.89,495.6,3174.75,1.376,9423.02,4.083,1.13,26.06,31343.53,72341623.04,47469.72,109561236.58,16126.18
2025-03-22,2335.44,2455.61,95.11,94.46,0.22,Normal,1539.38,659.1,10902366.51,1182.5,506.3,3799.0,1.627,9162.63,3.923,1.0,23.35,31460.41,73473786.07,47323.97,110522115.7,15863.56
2025-03-23,2345.13,2441.99,96.03,93.91,0.15,Normal,1662.74,709.0,11738689.5,1170.35,499.1,3612.21,1.54,9721.98,4.146,1.1,25.85,30615.78,71798095.85,47217.2,110730658.21,16601.42
2025-03-24,2233.15,2439.44,91.54,92.25,0.83,Normal,1466.53,656.7,10390297.66,1106.66,495.6,3280.97,1.469,9191.62,4.116,2.31,51.56,31007.06,69243313.92,47357.16,105755481.25,16350.1
2025-03-25,2135.45,2458.53,86.86,92.64,1.85,Minor Stoppage,1529.55,716.3,10839087.24,1063.6,498.1,3624.26,1.697,8381.55,3.925,1.22,25.95,30802.56,65777178.41,47420.72,101264361.93,16618.16
2025-03-26,2241.04,2412.11,92.91,93.14,1.13,Normal,1490.95,665.3,10436392.43,1121.15,500.3,3458.4,1.543,8245.64,3.679,1.0,22.41,30583.25,68538395.23,47470.78,106384088.12,16887.53
2025-03-27,1436.53,2439.67,58.88,90.11,9.17,Unplanned Breakdown,1002.44,697.8,7021693.44,711.16,495.1,2263.91,1.576,5212.83,3.629,2.3,32.97,30204.03,43388862.78,47582.9,68354064.68,17378.87
2025-03-28,2287.96,2429.5,94.17,93.66,0.84,Normal,1406.13,614.6,9826349.31,1148.68,502.1,3429.15,1.499,9483.21,4.145,1.0,22.88,30955.46,70825002.63,47466.13,108600845.28,16510.67
2025-03-29,2271.11,2467.95,92.02,92.65,0.9,Normal,1649.23,726.2,11457326.12,1058.24,466.0,3285.1,1.446,9674.88,4.26,1.47,33.37,30734.71,69801918.1,47685.25,108298477.99,16950.55
2025-03-30,2416.33,2460.17,98.22,92.92,0.62,Normal,1666.79,689.8,11644404.37,1264.0,523.1,3713.41,1.537,9255.93,3.831,1.65,39.88,31701.07,76600288.9,47701.64,115262964.88,16000.57
2025-03-31,1255.08,2444.52,51.34,90.42,11.01,Unplanned Breakdown,827.23,659.1,5796042.88,647.42,515.8,1911.0,1.523,4798.23,3.823,2.01,25.19,30774.73,38624884.42,47807.19,60002068.14,17032.46
2025-04-01,2076.52,2469.11,84.1,91.82,3.21,Minor Stoppage,1489.54,717.3,10410435.84,1029.32,495.7,3238.67,1.56,9444.75,4.548,2.0,41.62,30767.15,63888569.1,47850.29,99362054.3,17083.15
2025-04-02,2214.69,2468.35,89.72,92.03,0.85,Normal,1527.16,689.6,10651230.66,1083.06,489.0,3084.53,1.393,10250.15,4.628,1.91,42.35,31148.89,68985193.09,47882.2,106044334.0,16733.32
2025-04-03,2389.08,2472.56,96.62,93.8,0.4,Normal,1651.75,691.4,11536356.29,1183.9,495.5,3738.95,1.565,10857.14,4.544,1.0,23.89,30950.58,73943501.32,47703.17,113966843.29,16752.59
2025-04-04,2091.61,2467.42,84.77,92.83,2.05,Minor Stoppage,1460.52,698.3,10215147.92,1069.24,511.2,3095.51,1.48,9192.84,4.395,2.0,41.91,31357.22,65587203.41,47591.96,99544019.38,16234.74
2025-04-05,2360.6,2479.32,95.21,94.13,0.67,Normal,1533.7,649.7,10739784.13,1230.32,521.2,3455.13,1.464,9902.53,4.195,1.0,23.61,30641.61,72332699.61,47340.67,111752563.05,16699.06
2025-04-06,2314.08,2468.84,93.73,92.53,1.47,Normal,1549.37,669.5,10857902.14,1110.66,480.0,3494.53,1.51,9783.98,4.228,1.91,44.27,31714.51,73389977.73,47567.06,110074101.29,15852.56
2025-04-07,2150.51,2484.46,86.56,93.42,2.47,Minor Stoppage,1428.1,664.1,10048661.36,1090.9,507.3,3151.48,1.465,8985.88,4.178,1.59,34.12,30732.37,66090259.86,47550.83,102258518.13,16818.46
2025-04-08,2373.81,2467.2,96.21,93.79,0.16,Normal,1547.56,651.9,10872966.81,1186.22,499.7,3788.35,1.596,9295.04,3.916,1.68,39.94,30600.27,72639269.33,47592.67,112976042.89,16992.41
2025-04-09,1453.39,2438.84,59.59,89.21,9.22,Unplanned Breakdown,1007.88,693.5,7067128.86,677.71,466.3,2044.06,1.406,5351.29,3.682,2.82,41.03,31153.79,45278614.17,47805.34,69479809.75,16651.55
2025-04-10,2285.55,2484.92,91.98,93.46,0.64,Normal,1624.67,710.8,11387191.98,1122.97,491.3,3386.91,1.482,10266.31,4.492,1.47,33.6,31300.37,71538456.85,47708.96,109041065.97,16408.59
2025-04-11,2199.67,2482.39,88.61,93.75,0.8,Normal,1478.09,672.0,10362747.7,1109.26,504.3,3439.27,1.564,8988.78,4.086,1.36,29.87,31049.55,68298662.86,47546.17,104585737.47,16496.62
2025-04-12,2244.26,2467.0,90.97,92.66,1.03,Normal,1598.13,712.1,11155622.79,1113.4,496.1,3398.06,1.514,9668.8,4.308,1.58,35.48,30668.04,68826950.32,47556.51,106729011.74,16888.47
2025-04-13,2390.26,2443.92,97.8,92.85,0.65,Normal,1715.12,717.5,11975198.5,1155.33,483.3,3700.59,1.548,10093.44,4.223,1.48,35.28,30761.05,73526852.57,47695.94,114005616.78,16934.89
2025-04-14,2353.54,2448.47,96.12,93.23,0.14,Normal,1621.59,689.0,11320606.79,1162.42,493.9,3696.24,1.571,9782.81,4.157,1.47,34.63,30929.3,72793325.25,47820.55,112547526.36,16891.24
2025-04-15,2039.29,2467.58,82.64,91.28,3.2,Minor Stoppage,1423.3,697.9,9994782.56,1053.06,516.4,3027.64,1.485,8351.35,4.095,2.06,42.05,31093.65,63409002.92,47938.46,97760475.53,16844.81
2025-04-16,2141.39,2469.85,86.7,92.39,2.24,Minor Stoppage,1481.64,691.9,10438238.63,1052.3,491.4,3246.98,1.516,9524.66,4.448,1.46,31.26,31065.28,66523003.58,48001.01,102789086.41,16935.73
2025-04-17,2235.74,2460.09,90.88,92.3,1.38,Normal,1532.82,685.6,10786537.86,1178.84,527.3,3460.28,1.548,9988.69,4.468,1.57,35.03,31087.28,69502940.22,48217.96,107802587.55,17130.67
2025-04-18,2209.57,2465.26,89.63,93.18,0.77,Normal,1477.84,668.8,10443645.57,1115.45,504.8,3241.76,1.467,9356.03,4.234,1.0,22.1,30214.5,66761080.77,48309.59,106743454.35,18095.09
2025-04-19,2441.34,2478.86,98.49,93.48,0.12,Normal,1683.04,689.4,11853880.7,1260.96,516.5,3764.41,1.542,10431.14,4.273,1.27,31.07,31192.27,76151080.44,48474.69,118343431.86,17282.42
2025-04-20,1809.38,2475.19,73.1,91.75,5.87,Unplanned Breakdown,1258.87,695.7,8884867.51,916.32,506.4,2679.15,1.481,8265.51,4.568,1.89,34.19,31688.43,57336405.02,48458.78,87680328.11,16770.34
2025-04-21,2082.59,2445.38,85.16,92.21,2.77,Minor Stoppage,1444.19,693.5,10201070.58,1057.48,507.8,3080.64,1.479,9548.06,4.585,1.65,34.34,31215.56,65009258.86,48346.52,100686054.61,17130.96
2025-04-22,2370.66,2476.29,95.73,93.52,0.58,Normal,1598.65,674.3,11275342.15,1172.65,494.7,3249.45,1.371,9806.41,4.137,1.77,41.98,30636.33,72628226.49,48460.56,114883349.66,17824.23
2025-04-23,1548.58,2485.66,62.3,90.1,8.45,Unplanned Breakdown,1087.54,702.3,7708422.44,773.94,499.8,2655.82,1.715,6113.0,3.947,2.43,37.56,30892.71,47839788.78,48637.45,75318918.72,17744.74
2025-04-24,2148.25,2454.72,87.52,93.41,2.34,Minor Stoppage,1407.06,655.0,10006245.88,1026.05,477.6,2809.44,1.308,9680.15,4.506,1.78,38.23,31125.09,66864506.63,48814.94,104866742.06,17689.85
2025-04-25,1794.66,2469.17,72.68,91.15,5.96,Minor Stoppage,1227.37,683.9,8652205.64,902.96,503.1,2595.88,1.446,7804.55,4.349,1.39,24.87,30951.85,55548037.17,48945.07,87839735.26,17993.22
2025-04-26,2325.33,2451.34,94.86,92.45,1.67,Minor Stoppage,1539.49,662.1,10864933.21,1155.37,496.9,3688.18,1.586,9999.42,4.3,1.54,35.7,30745.14,71492503.68,48779.75,113428853.02,18034.61
2025-04-27,2119.98,2432.13,87.17,93.27,2.24,Minor Stoppage,1451.22,684.5,10215206.96,1022.36,482.3,2805.3,1.323,8857.2,4.178,1.14,24.24,30798.0,65291134.16,48962.32,103799120.29,18164.32
2025-04-28,2189.64,2452.64,89.28,93.6,1.72,Minor Stoppage,1499.36,684.8,10588182.88,1098.91,501.9,3154.0,1.44,8705.42,3.976,1.0,21.9,30690.23,67200647.26,49283.69,107913701.7,18593.46
2025-04-29,2398.78,2452.72,97.8,93.77,0.04,Normal,1738.95,724.9,12241237.25,1146.64,478.0,3873.25,1.615,10871.32,4.532,1.38,33.22,31100.02,74602170.2,49065.37,117697142.64,17965.35
